method,dataset,provenance,seed,base_acc,inc_aa,final_inc,all_aa,auroc_aa,osr_f1_aa,source
Happy-HAProto-acoustic,LS-100,official-component-reimplementation,3420,0.852875,0.3732916666666667,0.2435,0.5831660904712762,0.6083999999999999,0.2894204851752022,artifacts/happy/ls100/seed3420/metrics.json
Happy-HAProto-acoustic,LS-100,official-component-reimplementation,3421,0.852875,0.3974583333333333,0.2665,0.5820939628482972,0.7032,0.35608715184186884,artifacts/happy/ls100/seed3421/metrics.json
Happy-HAProto-acoustic,LS-100,official-component-reimplementation,3422,0.852875,0.33549999999999996,0.156,0.5689085569315446,0.6576,0.3727538185085355,artifacts/happy/ls100/seed3422/metrics.json
Happy-HAProto-acoustic,LS-100,official-component-reimplementation,3423,0.852875,0.4084583333333333,0.2905,0.5848949346405229,0.6828000000000001,0.35608715184186884,artifacts/happy/ls100/seed3423/metrics.json
Happy-HAProto-acoustic,LS-100,official-component-reimplementation,3424,0.852875,0.35524999999999995,0.21,0.5823701840385277,0.5936,0.2894204851752022,artifacts/happy/ls100/seed3424/metrics.json
Happy-HAProto-acoustic,LS-100,official-component-reimplementation,3425,0.852875,0.3675,0.238,0.5868176814585483,0.6304000000000001,0.2894204851752022,artifacts/happy/ls100/seed3425/metrics.json
Happy-HAProto-acoustic,LS-100,official-component-reimplementation,3426,0.852875,0.38154166666666667,0.2525,0.5811813811489508,0.7132000000000001,0.35608715184186884,artifacts/happy/ls100/seed3426/metrics.json
Happy-HAProto-acoustic,LS-100,official-component-reimplementation,3427,0.852875,0.3720416666666667,0.2335,0.5816550911592707,0.618,0.2894204851752022,artifacts/happy/ls100/seed3427/metrics.json
Happy-HAProto-acoustic,LS-100,official-component-reimplementation,3428,0.852875,0.37575000000000003,0.239,0.5776080323357413,0.6676,0.2894204851752022,artifacts/happy/ls100/seed3428/metrics.json
Happy-HAProto-acoustic,LS-100,official-component-reimplementation,3429,0.852875,0.37920833333333326,0.2365,0.5776660302717579,0.6676,0.2894204851752022,artifacts/happy/ls100/seed3429/metrics.json
Happy-HAProto-acoustic,NS-100,official-component-reimplementation,3420,0.9985,0.314625,0.1595,0.637102829377365,0.5956,0.23958333333333334,artifacts/happy/ns100/seed3420/metrics.json
Happy-HAProto-acoustic,NS-100,official-component-reimplementation,3421,0.9985,0.24158333333333334,0.094,0.6320453044375645,0.5568000000000001,0.23958333333333334,artifacts/happy/ns100/seed3421/metrics.json
Happy-HAProto-acoustic,NS-100,official-component-reimplementation,3422,0.9985,0.29091666666666666,0.194,0.6396646542827658,0.55,0.23958333333333334,artifacts/happy/ns100/seed3422/metrics.json
Happy-HAProto-acoustic,NS-100,official-component-reimplementation,3423,0.9985,0.2879583333333333,0.1995,0.6409826195390436,0.5788000000000001,0.23958333333333334,artifacts/happy/ns100/seed3423/metrics.json
Happy-HAProto-acoustic,NS-100,official-component-reimplementation,3424,0.9985,0.2763333333333333,0.192,0.6374512641898865,0.5568,0.23958333333333334,artifacts/happy/ns100/seed3424/metrics.json
Happy-HAProto-acoustic,NS-100,official-component-reimplementation,3425,0.9985,0.2945,0.182,0.6376589697282422,0.5672,0.23958333333333334,artifacts/happy/ns100/seed3425/metrics.json
Happy-HAProto-acoustic,NS-100,official-component-reimplementation,3426,0.9985,0.27975,0.196,0.6370178104575163,0.572,0.23958333333333334,artifacts/happy/ns100/seed3426/metrics.json
Happy-HAProto-acoustic,NS-100,official-component-reimplementation,3427,0.9985,0.2825416666666667,0.1855,0.6404953560371516,0.5676000000000001,0.23958333333333334,artifacts/happy/ns100/seed3427/metrics.json
Happy-HAProto-acoustic,NS-100,official-component-reimplementation,3428,0.9985,0.28841666666666665,0.195,0.6346766683866528,0.5556,0.23958333333333334,artifacts/happy/ns100/seed3428/metrics.json
Happy-HAProto-acoustic,NS-100,official-component-reimplementation,3429,0.9985,0.2770416666666667,0.1595,0.6334538871689027,0.5519999999999999,0.23958333333333334,artifacts/happy/ns100/seed3429/metrics.json
